average sequence length: 56.86
Traceback (most recent call last):
  File "main.py", line 95, in <module>
    pos_logits, neg_logits = model(u, seq, pos, neg)
  File "/home/hajar.laktaoui/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 102, in forward
    log_feats = self.log2feats(log_seqs) # user_ids hasn't been used yet
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 70, in log2feats
    row_str = ' '.join(map(str, row.cpu().numpy()))
RuntimeError: Can't call numpy() on Tensor that requires grad. Use tensor.detach().numpy() instead.
average sequence length: 56.86
average sequence length: 56.86
average sequence length: 56.86
loss in epoch 6 iteration 22: 0.8680717945098877
loss in epoch 6 iteration 23: 0.8864386677742004
loss in epoch 6 iteration 24: 0.8610153198242188
loss in epoch 6 iteration 25: 0.867452085018158
loss in epoch 6 iteration 26: 0.8561205863952637
loss in epoch 6 iteration 27: 0.8815693259239197
loss in epoch 6 iteration 28: 0.8538931608200073
loss in epoch 6 iteration 29: 0.8516719341278076
loss in epoch 6 iteration 30: 0.8582252264022827
loss in epoch 6 iteration 31: 0.8872884511947632
loss in epoch 6 iteration 32: 0.8630633354187012
loss in epoch 6 iteration 33: 0.850014328956604
loss in epoch 6 iteration 34: 0.8574604988098145
loss in epoch 6 iteration 35: 0.8292781710624695
loss in epoch 6 iteration 36: 0.8402456045150757
loss in epoch 6 iteration 37: 0.8512860536575317
loss in epoch 6 iteration 38: 0.8265891075134277
loss in epoch 6 iteration 39: 0.8377447128295898
loss in epoch 6 iteration 40: 0.8494138121604919
loss in epoch 6 iteration 41: 0.8543992042541504
loss in epoch 6 iteration 42: 0.8344599008560181
loss in epoch 6 iteration 43: 0.8312962055206299
loss in epoch 6 iteration 44: 0.8219441175460815
loss in epoch 6 iteration 45: 0.8508387804031372
loss in epoch 6 iteration 46: 0.8355088233947754
loss in epoch 6 iteration 47: 0.8379347324371338
loss in epoch 6 iteration 48: 0.8425916433334351
loss in epoch 6 iteration 49: 0.8337235450744629
loss in epoch 6 iteration 50: 0.8350228071212769
loss in epoch 6 iteration 51: 0.830254316329956
loss in epoch 6 iteration 52: 0.8241783380508423
loss in epoch 6 iteration 53: 0.846449613571167
loss in epoch 6 iteration 54: 0.8153401613235474
loss in epoch 6 iteration 55: 0.8281238079071045
loss in epoch 6 iteration 56: 0.8147044777870178
loss in epoch 6 iteration 57: 0.7962707281112671
loss in epoch 7 iteration 0: 0.8229403495788574
loss in epoch 7 iteration 1: 0.8166899681091309
loss in epoch 7 iteration 2: 0.8011801838874817
loss in epoch 7 iteration 3: 0.8044620752334595
loss in epoch 7 iteration 4: 0.8087282776832581
loss in epoch 7 iteration 5: 0.8188527822494507
loss in epoch 7 iteration 6: 0.832607626914978
loss in epoch 7 iteration 7: 0.7935492396354675
loss in epoch 7 iteration 8: 0.8188791871070862
loss in epoch 7 iteration 9: 0.8507184982299805
loss in epoch 7 iteration 10: 0.8035538792610168
loss in epoch 7 iteration 11: 0.7970162630081177
loss in epoch 7 iteration 12: 0.7801330089569092
loss in epoch 7 iteration 13: 0.834488034248352
loss in epoch 7 iteration 14: 0.8029813766479492
loss in epoch 7 iteration 15: 0.7859817743301392
loss in epoch 7 iteration 16: 0.8187141418457031
loss in epoch 7 iteration 17: 0.8102038502693176
loss in epoch 7 iteration 18: 0.8060935735702515
loss in epoch 7 iteration 19: 0.7911538481712341
loss in epoch 7 iteration 20: 0.8053915500640869
loss in epoch 7 iteration 21: 0.774053692817688
loss in epoch 7 iteration 22: 0.8080692291259766
loss in epoch 7 iteration 23: 0.7905895709991455
loss in epoch 7 iteration 24: 0.8120013475418091
loss in epoch 7 iteration 25: 0.7978453636169434
loss in epoch 7 iteration 26: 0.7862945795059204
loss in epoch 7 iteration 27: 0.7689262628555298
loss in epoch 7 iteration 28: 0.790574848651886
loss in epoch 7 iteration 29: 0.8129476308822632
loss in epoch 7 iteration 30: 0.819934606552124
loss in epoch 7 iteration 31: 0.7957894206047058
loss in epoch 7 iteration 32: 0.7827861309051514
loss in epoch 7 iteration 33: 0.8210070729255676
loss in epoch 7 iteration 34: 0.8001210689544678
loss in epoch 7 iteration 35: 0.7745108604431152
loss in epoch 7 iteration 36: 0.784756064414978
loss in epoch 7 iteration 37: 0.7717108726501465
loss in epoch 7 iteration 38: 0.7788604497909546
